Timestamp,DeviceName,Mac,AX,AY,AZ,GX,GY,GZ,AngX,AngY,AngZ,HX,HY,HZ,Electric,Temp
2025-12-11 22:16:00.626,WT901BLE67,90856446-A74E-F462-0152-8475C1E77738,1.400,-1.032,0.796,0.000,0.000,0.000,-0.472,0.786,-72.708,30.52,-11.48,-71.28,100,27.57
2025-12-11 22:16:00.627,WT901BLE67,90856446-A74E-F462-0152-8475C1E77738,1.399,-1.033,0.796,0.000,0.000,0.000,-0.472,0.786,-72.708,30.52,-11.48,-71.28,100,27.57
2025-12-11 22:16:00.627,WT901BLE67,90856446-A74E-F462-0152-8475C1E77738,1.399,-1.033,0.796,0.000,0.000,0.000,-0.472,0.786,-72.708,30.52,-11.48,-71.28,100,27.57
2025-12-11 22:16:00.631,WT901BLE67,90856446-A74E-F462-0152-8475C1E77738,1.399,-1.033,0.796,0.000,0.000,0.000,-0.472,0.786,-72.708,30.52,-11.48,-71.28,100,27.57
2025-12-11 22:16:00.635,WT901BLE67,90856446-A74E-F462-0152-8475C1E77738,1.399,-1.033,0.796,0.000,0.000,0.000,-0.472,0.786,-72.708,30.52,-11.48,-71.28,100,27.57
2025-12-11 22:16:00.640,WT901BLE67,90856446-A74E-F462-0152-8475C1E77738,1.399,-1.033,0.796,0.000,0.000,0.000,-0.472,0.786,-72.708,30.52,-11.48,-71.28,100,27.57
2025-12-11 22:16:00.646,WT901BLE67,90856446-A74E-F462-0152-8475C1E77738,1.399,-1.033,0.796,0.000,0.000,0.000,-0.472,0.786,-72.708,30.52,-11.48,-71.28,100,27.57
2025-12-11 22:16:00.650,WT901BLE67,90856446-A74E-F462-0152-8475C1E77738,1.399,-1.033,0.796,0.000,0.000,0.000,-0.472,0.786,-72.708,30.52,-11.48,-71.28,100,27.57
2025-12-11 22:16:00.655,WT901BLE67,90856446-A74E-F462-0152-8475C1E77738,1.399,-1.033,0.796,0.000,0.000,0.000,-0.472,0.786,-72.708,30.52,-11.48,-71.28,100,27.57
2025-12-11 22:16:00.660,WT901BLE67,90856446-A74E-F462-0152-8475C1E77738,1.399,-1.033,0.796,0.000,0.000,0.000,-0.472,0.786,-72.708,30.52,-11.48,-71.28,100,27.57
2025-12-11 22:16:00.665,WT901BLE67,90856446-A74E-F462-0152-8475C1E77738,1.399,-1.033,0.796,0.000,0.000,0.000,-0.472,0.786,-72.708,30.52,-11.48,-71.28,100,27.57
2025-12-11 22:16:00.670,WT901BLE67,90856446-A74E-F462-0152-8475C1E77738,1.399,-1.033,0.796,0.000,0.000,0.000,-0.472,0.786,-72.708,30.52,-11.48,-71.28,100,27.57
2025-12-11 22:16:00.675,WT901BLE67,90856446-A74E-F462-0152-8475C1E77738,1.399,-1.033,0.796,0.000,0.000,0.000,-0.472,0.786,-72.708,30.52,-11.48,-71.28,100,27.57
2025-12-11 22:16:00.678,WT901BLE67,90856446-A74E-F462-0152-8475C1E77738,1.401,-1.033,0.796,0.000,0.000,0.000,-0.472,0.786,-72.708,30.52,-11.48,-71.28,100,27.57
2025-12-11 22:16:00.678,WT901BLE67,90856446-A74E-F462-0152-8475C1E77738,1.399,-1.034,0.795,0.000,0.000,0.000,-0.472,0.786,-72.708,30.52,-11.48,-71.28,100,27.57
2025-12-11 22:16:00.680,WT901BLE67,90856446-A74E-F462-0152-8475C1E77738,1.399,-1.034,0.795,0.000,0.000,0.000,-0.472,0.786,-72.708,30.52,-11.48,-71.28,100,27.57
2025-12-11 22:16:00.685,WT901BLE67,90856446-A74E-F462-0152-8475C1E77738,1.399,-1.034,0.795,0.000,0.000,0.000,-0.472,0.786,-72.708,30.52,-11.48,-71.28,100,27.57
2025-12-11 22:16:00.690,WT901BLE67,90856446-A74E-F462-0152-8475C1E77738,1.399,-1.034,0.795,0.000,0.000,0.000,-0.472,0.786,-72.708,30.52,-11.48,-71.28,100,27.57
2025-12-11 22:16:00.696,WT901BLE67,90856446-A74E-F462-0152-8475C1E77738,1.399,-1.034,0.795,0.000,0.000,0.000,-0.472,0.786,-72.708,30.52,-11.48,-71.28,100,27.57
2025-12-11 22:16:00.700,WT901BLE67,90856446-A74E-F462-0152-8475C1E77738,1.399,-1.034,0.795,0.000,0.000,0.000,-0.472,0.786,-72.708,30.52,-11.48,-71.28,100,27.57
2025-12-11 22:16:00.705,WT901BLE67,90856446-A74E-F462-0152-8475C1E77738,1.399,-1.034,0.795,0.000,0.000,0.000,-0.472,0.786,-72.708,30.52,-11.48,-71.28,100,27.57
2025-12-11 22:16:00.708,WT901BLE67,90856446-A74E-F462-0152-8475C1E77738,1.399,-1.034,0.794,0.000,0.000,0.000,-0.472,0.786,-72.708,30.52,-11.48,-71.28,100,27.57
2025-12-11 22:16:00.708,WT901BLE67,90856446-A74E-F462-0152-8475C1E77738,1.399,-1.036,0.795,0.000,0.000,0.000,-0.472,0.786,-72.708,30.52,-11.48,-71.28,100,27.57
2025-12-11 22:16:00.710,WT901BLE67,90856446-A74E-F462-0152-8475C1E77738,1.399,-1.036,0.795,0.000,0.000,0.000,-0.472,0.786,-72.708,30.52,-11.48,-71.28,100,27.57
2025-12-11 22:16:00.715,WT901BLE67,90856446-A74E-F462-0152-8475C1E77738,1.399,-1.036,0.795,0.000,0.000,0.000,-0.472,0.786,-72.708,30.52,-11.48,-71.28,100,27.57
2025-12-11 22:16:00.720,WT901BLE67,90856446-A74E-F462-0152-8475C1E77738,1.399,-1.036,0.795,0.000,0.000,0.000,-0.472,0.786,-72.708,30.52,-11.48,-71.28,100,27.57
2025-12-11 22:16:00.725,WT901BLE67,90856446-A74E-F462-0152-8475C1E77738,1.399,-1.036,0.795,0.000,0.000,0.000,-0.472,0.786,-72.708,30.52,-11.48,-71.28,100,27.57
2025-12-11 22:16:00.730,WT901BLE67,90856446-A74E-F462-0152-8475C1E77738,1.399,-1.036,0.795,0.000,0.000,0.000,-0.472,0.786,-72.708,30.52,-11.48,-71.28,100,27.57
2025-12-11 22:16:00.735,WT901BLE67,90856446-A74E-F462-0152-8475C1E77738,1.399,-1.036,0.795,0.000,0.000,0.000,-0.472,0.786,-72.708,30.52,-11.48,-71.28,100,27.57
2025-12-11 22:16:00.738,WT901BLE67,90856446-A74E-F462-0152-8475C1E77738,1.400,-1.033,0.794,0.000,0.000,0.000,-0.472,0.786,-72.708,30.52,-11.48,-71.28,100,27.57
2025-12-11 22:16:00.738,WT901BLE67,90856446-A74E-F462-0152-8475C1E77738,1.400,-1.034,0.795,0.000,0.000,0.000,-0.472,0.786,-72.708,30.52,-11.48,-71.28,100,27.57
2025-12-11 22:16:00.740,WT901BLE67,90856446-A74E-F462-0152-8475C1E77738,1.400,-1.034,0.795,0.000,0.000,0.000,-0.472,0.786,-72.708,30.52,-11.48,-71.28,100,27.57
2025-12-11 22:16:00.746,WT901BLE67,90856446-A74E-F462-0152-8475C1E77738,1.400,-1.034,0.795,0.000,0.000,0.000,-0.472,0.786,-72.708,30.52,-11.48,-71.28,100,27.57
2025-12-11 22:16:00.750,WT901BLE67,90856446-A74E-F462-0152-8475C1E77738,1.400,-1.034,0.795,0.000,0.000,0.000,-0.472,0.786,-72.708,30.52,-11.48,-71.28,100,27.57
2025-12-11 22:16:00.755,WT901BLE67,90856446-A74E-F462-0152-8475C1E77738,1.400,-1.034,0.795,0.000,0.000,0.000,-0.472,0.786,-72.708,30.52,-11.48,-71.28,100,27.57
2025-12-11 22:16:00.760,WT901BLE67,90856446-A74E-F462-0152-8475C1E77738,1.400,-1.034,0.795,0.000,0.000,0.000,-0.472,0.786,-72.708,30.52,-11.48,-71.28,100,27.57
2025-12-11 22:16:00.765,WT901BLE67,90856446-A74E-F462-0152-8475C1E77738,1.400,-1.034,0.795,0.000,0.000,0.000,-0.472,0.786,-72.708,30.52,-11.48,-71.28,100,27.57
